Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Court
ORL,ORL @ MEM,2020-03-10,W,36,85,32,72,0.4444444444444444,8,25,0.32,13,15,0.8666666666666667,11,21,32,21,13,9,3,17,-1,0
NYK,NYK @ WAS,2020-03-10,L,36,87,32,60,0.5333333333333333,6,14,0.42857142857142855,17,23,0.7391304347826086,7,24,31,22,17,8,2,20,0,0
MIN,MIN @ HOU,2020-03-10,L,36,80,30,63,0.47619047619047616,11,27,0.4074074074074074,9,13,0.6923076923076923,6,28,34,14,17,7,0,18,-3,0
MEM,MEM vs. ORL,2020-03-10,L,36,86,30,59,0.5084745762711864,9,21,0.42857142857142855,17,23,0.7391304347826086,6,24,30,19,17,6,5,16,1,1
LAL,LAL vs. BKN,2020-03-10,L,36,80,31,63,0.49206349206349204,12,28,0.42857142857142855,6,9,0.6666666666666666,6,27,33,20,13,6,4,15,-7,1
LAC,LAC @ GSW,2020-03-10,W,36,111,41,71,0.5774647887323944,16,33,0.48484848484848486,13,13,1.0,10,24,34,23,7,4,1,13,34,0
IND,IND vs. BOS,2020-03-10,L,36,80,34,69,0.4927536231884058,6,15,0.4,6,7,0.8571428571428571,7,25,32,18,11,4,5,14,-14,1
HOU,HOU vs. MIN,2020-03-10,W,36,83,27,58,0.46551724137931033,9,28,0.32142857142857145,20,26,0.7692307692307693,3,21,24,15,14,8,4,13,3,1
GSW,GSW vs. LAC,2020-03-10,L,36,77,28,59,0.4745762711864407,8,25,0.32,13,16,0.8125,4,18,22,18,8,1,0,13,-34,1
DAL,DAL @ SAS,2020-03-10,L,36,85,33,69,0.4782608695652174,15,33,0.45454545454545453,4,4,1.0,5,29,34,21,12,6,3,13,2,0
CLE,CLE @ CHI,2020-03-10,L,36,78,30,63,0.47619047619047616,2,17,0.11764705882352941,16,19,0.8421052631578947,7,22,29,23,13,6,5,9,0,0
CHI,CHI vs. CLE,2020-03-10,W,36,78,33,68,0.4852941176470588,8,25,0.32,4,4,1.0,10,26,36,17,17,7,6,18,0,1
BOS,BOS @ IND,2020-03-10,W,36,94,33,69,0.4782608695652174,12,28,0.42857142857142855,16,17,0.9411764705882353,7,26,33,17,6,8,4,9,14,0
BKN,BKN @ LAL,2020-03-10,W,36,87,31,71,0.43661971830985913,10,31,0.3225806451612903,15,17,0.8823529411764706,10,25,35,22,8,7,3,10,7,0
UTA,UTA vs. TOR,2020-03-09,L,36,70,25,63,0.3968253968253968,12,33,0.36363636363636365,8,12,0.6666666666666666,4,22,26,18,7,10,4,12,-6,1
TOR,TOR @ UTA,2020-03-09,W,36,76,29,63,0.4603174603174603,10,29,0.3448275862068966,8,8,1.0,7,30,37,17,15,5,1,12,6,0
MIL,MIL @ DEN,2020-03-09,L,36,71,26,71,0.36619718309859156,11,37,0.2972972972972973,8,12,0.6666666666666666,9,31,40,17,12,6,3,9,-5,0
DEN,DEN vs. MIL,2020-03-09,W,36,76,29,70,0.4142857142857143,12,32,0.375,6,6,1.0,2,35,37,19,12,9,7,14,5,1
CHA,CHA @ ATL,2020-03-09,L,36,94,33,66,0.5,11,26,0.4230769230769231,17,19,0.8947368421052632,6,16,22,19,3,6,1,14,-4,0
ATL,ATL vs. CHA,2020-03-09,W,36,98,38,63,0.6031746031746031,15,28,0.5357142857142857,7,15,0.4666666666666667,6,24,30,24,9,1,2,18,4,1
WAS,WAS vs. MIA,2020-03-08,L,36,72,20,55,0.36363636363636365,14,31,0.45161290322580644,18,20,0.9,3,23,26,14,12,8,2,20,0,1
TOR,TOR @ SAC,2020-03-08,W,36,78,27,62,0.43548387096774194,13,36,0.3611111111111111,11,15,0.7333333333333333,1,27,28,20,9,9,2,16,4,0
SAS,SAS @ CLE,2020-03-08,L,36,91,29,66,0.4393939393939394,5,16,0.3125,28,30,0.9333333333333333,6,25,31,13,7,11,5,20,4,0
SAC,SAC vs. TOR,2020-03-08,L,36,74,28,65,0.4307692307692308,5,22,0.22727272727272727,13,14,0.9285714285714286,7,33,40,15,10,5,4,13,-4,1
PHX,PHX vs. MIL,2020-03-08,W,36,102,38,66,0.5757575757575758,17,33,0.5151515151515151,9,12,0.75,5,31,36,25,12,3,3,16,11,1
ORL,ORL @ HOU,2020-03-08,W,36,105,39,76,0.5131578947368421,10,21,0.47619047619047616,17,21,0.8095238095238095,13,27,40,19,9,10,2,13,29,0
OKC,OKC @ BOS,2020-03-08,W,36,83,28,58,0.4827586206896552,8,17,0.47058823529411764,19,25,0.76,3,29,32,13,14,7,6,14,-1,0
NYK,NYK vs. DET,2020-03-08,W,36,72,29,65,0.4461538461538462,4,13,0.3076923076923077,10,16,0.625,12,25,37,10,8,7,4,13,1,1
