index,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,Court,Opponent,OppPTS,OppFGM,OppFGA,OppFG%,Opp3PM,Opp3PA,Opp3P%,OppFTM,OppFTA,OppFT%,OppOREB,OppDREB,OppREB,OppAST,OppTOV,OppSTL,OppBLK,OppPF,Pos,OppPos,Pace,OFFRTG,DEFRTG,Margin,formatted_date,week_of_season
41,MIN,MIN vs. NOP,2020-03-08,L,12,23,8,21,38.1,3,11,27.3,4,6,66.7,2,9,11,6,3,5,0,7,1,1,NOP,22,7,19,36.8,1,9,11.1,7,10,70.0,3,11,14,4,6,1,1,5,25.025,25.025,100.1,91.90809190809192,87.91208791208793,-13,2020-03-08,20
42,MIL,MIL @ PHX,2020-03-08,L,12,40,14,21,66.7,6,10,60.0,6,8,75.0,0,6,6,10,4,1,0,13,2,0,PHX,38,9,19,47.4,2,10,20.0,18,19,94.7,3,8,11,5,3,3,1,7,27.116666666666667,27.116666666666667,108.46666666666667,147.51075599262447,140.13521819299325,-9,2020-03-08,20
43,MIA,MIA @ WAS,2020-03-08,W,12,28,8,13,61.5,5,7,71.4,7,8,87.5,0,13,13,7,7,0,2,4,11,0,WAS,17,6,23,26.1,5,16,31.3,0,1,0.0,1,2,3,5,2,3,0,6,23.65035714285714,23.65035714285714,94.60142857142856,118.39144682200514,71.88052128478883,11,2020-03-08,20
44,LAL,LAL @ LAC,2020-03-08,W,12,27,10,21,47.6,2,8,25.0,5,6,83.3,3,10,13,5,2,1,1,9,5,0,LAC,22,6,17,35.3,2,8,25.0,8,11,72.7,2,7,9,2,3,0,3,10,22.153666666666666,22.153666666666666,88.61466666666666,121.87598742119438,99.30636012097321,9,2020-03-08,20
45,LAC,LAC vs. LAL,2020-03-08,L,12,22,6,17,35.3,2,8,25.0,8,11,72.7,2,7,9,2,3,0,3,10,-5,1,LAL,27,10,21,47.6,2,8,25.0,5,6,83.3,3,10,13,5,2,1,1,9,22.153666666666666,22.153666666666666,88.61466666666666,99.30636012097321,121.87598742119438,-9,2020-03-08,20
46,IND,IND @ DAL,2020-03-08,W,12,26,11,21,52.4,2,5,40.0,2,2,100.0,1,9,10,5,3,2,3,5,1,0,DAL,25,9,21,42.9,4,12,33.3,3,6,50.0,2,8,10,6,3,3,3,3,23.83828282828283,23.83828282828283,95.35313131313131,109.06825876380833,104.87332573443106,3,2020-03-08,20
48,DET,DET @ NYK,2020-03-08,L,12,13,4,19,21.1,2,9,22.2,3,4,75.0,1,6,7,2,3,2,0,7,-11,0,NYK,24,7,17,41.2,2,6,33.3,8,9,88.9,1,13,14,5,4,3,1,3,22.762500000000003,22.762500000000003,91.05000000000001,57.11147721032399,105.43657331136738,-12,2020-03-08,20
49,DAL,DAL vs. IND,2020-03-08,L,12,25,9,21,42.9,4,12,33.3,3,6,50.0,2,8,10,6,3,3,3,3,-1,1,IND,26,11,21,52.4,2,5,40.0,2,2,100.0,1,9,10,5,3,2,3,5,23.83828282828283,23.83828282828283,95.35313131313131,104.87332573443106,109.06825876380833,-3,2020-03-08,20
50,CLE,CLE vs. SAS,2020-03-08,W,12,31,11,22,50.0,4,7,57.1,5,10,50.0,4,11,15,7,2,0,1,1,4,1,SAS,27,11,22,50.0,4,5,80.0,1,1,100.0,0,8,8,7,2,2,0,8,24.238333333333333,24.238333333333333,96.95333333333333,127.89658254830502,111.39379770336244,0,2020-03-08,20
51,CHI,CHI @ BKN,2020-03-08,L,12,37,12,24,50.0,7,11,63.6,6,8,75.0,1,6,7,8,3,2,1,16,4,0,BKN,33,5,10,50.0,0,1,0.0,23,27,85.2,1,10,11,3,7,2,1,8,28.034220779220778,28.034220779220778,112.13688311688311,131.98155315743514,117.71327714041513,-3,2020-03-08,20
52,BOS,BOS vs. OKC,2020-03-08,L,12,20,8,20,40.0,0,1,0.0,4,5,80.0,3,9,12,5,4,0,1,8,-2,1,OKC,22,7,21,33.3,2,8,25.0,6,9,66.7,1,6,7,3,4,2,1,8,24.411,24.411,97.644,81.93027733398877,90.12330506738765,-1,2020-03-08,20
53,BKN,BKN vs. CHI,2020-03-08,W,12,33,5,10,50.0,0,1,0.0,23,27,85.2,1,10,11,3,7,2,1,8,-4,1,CHI,37,12,24,50.0,7,11,63.6,6,8,75.0,1,6,7,8,3,2,1,16,28.034220779220778,28.034220779220778,112.13688311688311,117.71327714041513,131.98155315743514,3,2020-03-08,20
54,UTA,UTA @ DET,2020-03-07,W,12,32,8,14,57.1,2,4,50.0,14,18,77.8,1,7,8,3,2,1,1,6,0,0,DET,32,11,24,45.8,3,8,37.5,7,9,77.8,4,7,11,6,1,1,0,11,22.96965909090909,22.96965909090909,91.87863636363636,139.3142139086641,139.3142139086641,6,2020-03-07,20
55,SAC,SAC @ POR,2020-03-07,W,12,23,5,11,45.5,2,7,28.6,11,12,91.7,1,7,8,5,7,2,0,4,-8,0,POR,31,14,23,60.9,2,11,18.2,1,3,33.3,4,5,9,5,2,4,0,7,22.214090909090906,22.214090909090906,88.85636363636362,103.53788545354097,139.5510630025987,12,2020-03-07,20
56,POR,POR vs. SAC,2020-03-07,L,12,31,14,23,60.9,2,11,18.2,1,3,33.3,4,5,9,5,2,4,0,7,8,1,SAC,23,5,11,45.5,2,7,28.6,11,12,91.7,1,7,8,5,7,2,0,4,22.214090909090906,22.214090909090906,88.85636363636362,139.5510630025987,103.53788545354097,-12,2020-03-07,20
57,PHI,PHI @ GSW,2020-03-07,L,12,24,8,21,38.1,4,9,44.4,4,5,80.0,4,7,11,5,6,0,0,8,-12,0,GSW,36,12,18,66.7,2,5,40.0,10,12,83.3,0,9,9,8,1,1,1,5,24.259999999999998,24.259999999999998,97.03999999999999,98.92827699917561,148.3924154987634,-4,2020-03-07,20
58,MEM,MEM vs. ATL,2020-03-07,W,12,25,7,17,41.2,3,7,42.9,8,14,57.1,4,9,13,3,5,2,2,5,2,1,ATL,23,7,23,30.4,4,13,30.8,5,6,83.3,5,9,14,6,4,3,0,8,23.7967032967033,23.7967032967033,95.1868131868132,105.05656892172708,96.65204340798891,17,2020-03-07,20
59,HOU,HOU @ CHA,2020-03-07,L,12,23,8,19,42.1,3,13,23.1,4,6,66.7,4,6,10,6,5,2,0,7,-3,0,CHA,26,9,16,56.3,3,5,60.0,5,8,62.5,2,6,8,6,5,2,0,3,22.00975,22.00975,88.039,104.49914242551597,118.12946535058326,-9,2020-03-07,20
60,GSW,GSW vs. PHI,2020-03-07,W,12,36,12,18,66.7,2,5,40.0,10,12,83.3,0,9,9,8,1,1,1,5,12,1,PHI,24,8,21,38.1,4,9,44.4,4,5,80.0,4,7,11,5,6,0,0,8,24.259999999999998,24.259999999999998,97.03999999999999,148.3924154987634,98.92827699917561,4,2020-03-07,20
61,DET,DET vs. UTA,2020-03-07,L,12,32,11,24,45.8,3,8,37.5,7,9,77.8,4,7,11,6,1,1,0,11,0,1,UTA,32,8,14,57.1,2,4,50.0,14,18,77.8,1,7,8,3,2,1,1,6,22.96965909090909,22.96965909090909,91.87863636363636,139.3142139086641,139.3142139086641,-6,2020-03-07,20
62,DEN,DEN @ CLE,2020-03-07,L,12,19,8,22,36.4,3,7,42.9,0,0,0.0,4,6,10,6,4,5,0,4,0,0,CLE,19,6,16,37.5,3,5,60.0,4,6,66.7,4,10,14,5,6,2,1,5,20.919999999999998,20.919999999999998,83.67999999999999,90.82217973231359,90.82217973231359,-2,2020-03-07,20
63,CLE,CLE vs. DEN,2020-03-07,W,12,19,6,16,37.5,3,5,60.0,4,6,66.7,4,10,14,5,6,2,1,5,0,1,DEN,19,8,22,36.4,3,7,42.9,0,0,0.0,4,6,10,6,4,5,0,4,20.919999999999998,20.919999999999998,83.67999999999999,90.82217973231359,90.82217973231359,2,2020-03-07,20
64,CHA,CHA vs. HOU,2020-03-07,W,12,26,9,16,56.3,3,5,60.0,5,8,62.5,2,6,8,6,5,2,0,3,3,1,HOU,23,8,19,42.1,3,13,23.1,4,6,66.7,4,6,10,6,5,2,0,7,22.00975,22.00975,88.039,118.12946535058326,104.49914242551597,9,2020-03-07,20
65,ATL,ATL @ MEM,2020-03-07,L,12,23,7,23,30.4,4,13,30.8,5,6,83.3,5,9,14,6,4,3,0,8,-2,0,MEM,25,7,17,41.2,3,7,42.9,8,14,57.1,4,9,13,3,5,2,2,5,23.7967032967033,23.7967032967033,95.1868131868132,96.65204340798891,105.05656892172708,-17,2020-03-07,20
