Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
HOU,HOU vs. DET,12/14/2019,,L,12,20,9,23,39.1,2,9,22.2,0,1,0.0,3,11,14,5,4,0,1,6,-12
MIL,MIL vs. CLE,12/14/2019,,W,12,43,17,23,73.9,7,10,70.0,2,5,40.0,3,5,8,10,2,5,2,5,12
BKN,BKN @ TOR,12/14/2019,,L,12,29,10,24,41.7,5,11,45.5,4,6,66.7,3,14,17,5,5,1,0,5,2
MIA,MIA @ DAL,12/14/2019,,W,12,36,10,21,47.6,5,8,62.5,11,11,100.0,0,15,15,9,3,2,2,4,9
CHI,CHI vs. CHA,12/13/2019,,L,12,25,8,21,38.1,3,7,42.9,6,7,85.7,1,12,13,6,4,3,4,6,5
MEM,MEM vs. MIL,12/13/2019,,L,12,33,11,30,36.7,6,16,37.5,5,6,83.3,4,7,11,8,1,5,0,9,4
SAC,SAC vs. NYK,12/13/2019,,L,12,22,9,20,45.0,4,8,50.0,0,0,0.0,3,6,9,5,4,0,0,4,-3
ORL,ORL vs. HOU,12/13/2019,,L,12,33,13,25,52.0,6,11,54.5,1,1,100.0,2,4,6,10,1,1,1,4,-1
LAL,LAL @ MIA,12/13/2019,,W,12,21,9,24,37.5,1,11,9.1,2,3,66.7,5,9,14,4,6,0,0,6,-9
IND,IND @ ATL,12/13/2019,,W,12,34,14,24,58.3,2,5,40.0,4,4,100.0,1,9,10,8,4,1,0,6,8
HOU,HOU @ ORL,12/13/2019,,W,12,34,11,17,64.7,6,9,66.7,6,6,100.0,1,9,10,4,5,0,1,4,1
CHA,CHA @ CHI,12/13/2019,,W,12,20,7,24,29.2,0,10,0.0,6,8,75.0,3,13,16,6,4,2,1,7,-5
NOP,NOP @ PHI,12/13/2019,,L,12,32,12,24,50.0,4,8,50.0,4,6,66.7,3,11,14,10,3,2,0,7,9
MIA,MIA vs. LAL,12/13/2019,,L,12,30,11,20,55.0,1,6,16.7,7,9,77.8,0,10,10,6,1,3,1,3,9
UTA,UTA vs. GSW,12/13/2019,,W,12,27,9,19,47.4,4,9,44.4,5,6,83.3,1,8,9,7,3,1,0,3,0
